gid,ply,spend
cc119470984838,37,0.1
fCPfyaz6,30,2.0
cc166160069716,27,1.3
cc120695007484,28,2.0
GDik1S2C,51,1.0
jXUr9UnY,49,1.0
rnfLWk0Z,30,2.0
Ut8SZ4Gk,33,1.0
yXQgJNT3,26,2.0
iJUa5PYd,47,1.0
RuBhw70n,39,2.0
953lJeu8,52,2.0
XpEcjkGN,61,2.0
g5Y1dSyQ,39,2.0
AjwNhuZH,37,2.0
N0Ykmvfs,59,1.0
OkhjXYWg,36,2.0
yabAxLzE,31,1.0
0IrUTCaG,35,1.0
7ejnSJvu,43,1.0
l8ERaxZu,37,1.0
i3JsUVzX,29,2.0
hL2Y1sf7,31,2.0
n4LxXGSb,35,2.0
jr7L9DkN,30,2.0
cEaYU9kg,72,1.0
9RNJ6dBu,26,1.0
JZ1c0itp,46,2.0
LHoF4CDM,33,1.0
NPPQKQeN,55,2.0
q8vqOwhw,28,2.0
noWU9pRo,27,2.0
dBoH8PAU,28,1.0
btxKRLl9,48,2.0
BPGUtUbS,28,2.0
83FwhBos,37,1.0
cc119476891376,46,1.2
2mSGALgv,39,1.0
ZKj0swE0,76,2.0
6XNhgg0s,41,2.0
hggFNvL7,31,2.0
71zZ8BNL,59,2.0
cc165561567190,35,1.9
0hWvNObN,43,2.0
R1AqG4aN,27,1.0
OUkp2kcr,43,2.0
bYatGdiY,40,1.0
h2al7KEQ,34,2.0
cc121157295276,53,1.9
1UxnOHus,36,2.0
i1mcHyyF,36,2.0
riYcyEu2,35,0.0
M2b5XPhY,25,2.0
1UxnOHus,40,2.0
cc165211229858,27,1.0
cc120084652046,56,1.2
oslS39l2,30,2.0
DIIiry4G,72,2.0
W6FpGcow,26,2.0
EWKJUBP1,67,2.0
u2sPx3cz,29,2.0
cc119716574890,25,1.5
UNuuJA9g,29,2.0
UQvEoCtu,36,2.0
LtL6kokk,61,2.0
MfnaNN7K,36,0.0
m1qgRMJl,30,2.0
cc119972817536,32,1.8
Q6T8aPr0,31,2.0
YCyb9kc8,54,2.0
fLvwlluk,29,1.0
b9bY4p1o,26,2.0
cc120091224514,31,1.9
EJi6qOJu,26,0.0
ADCasSBs,41,1.0
2zByDL3b,61,1.0
wev3H6Ys,29,2.0
0Etp7G5Q,31,2.0
0sx61uqE,33,1.0
BVazrYwc,27,1.0
ORQH3ATS,33,2.0
HBb6W17D,29,2.0
UjiFUlqb,25,1.0
cc120908873064,60,1.4
Vonp4hC5,42,2.0
cc120832791356,26,1.5
2fWwjBFW,26,2.0
r3xemLQf,25,1.0
OxYu2GP1,39,2.0
Ihjbjy8B,33,1.0
gydhyXwc,44,2.0
UQL3C0XH,25,2.0
cc119470984838,33,1.5
cc165520466840,27,1.6
tnejLCLn,33,2.0
0hWvNObN,61,2.0
OE1gyw3E,64,1.0
FrXsIUN5,33,2.0
4Jy46001,25,2.0
rBimp7uE,61,2.0
cc119476965444,28,0.9
Wu8jWYZr,41,2.0
6l8wM6zu,43,2.0
Q14vVGS9,50,2.0
wlWYZuWC,35,2.0
15ri9niI,40,2.0
t5GsrScd,35,2.0
iapO9bh4,50,2.0
sCK53bkI,48,2.0
cc166039566532,27,1.4
0sx61uqE,55,1.0
2tY06mQ0,55,1.0
J9gb3GCj,32,2.0
Ln3lpbEg,50,1.0
8mJo3N5g,35,1.0
JGIvtFlT,27,1.0
e14wmTY8,31,2.0
c9Gev0sI,50,2.0
KoecdkGL,34,2.0
iU5tAco0,26,2.0
lCAu2EBz,41,2.0
Di5HLWKO,53,2.0
D94DPRSy,74,2.0
yabAxLzE,27,2.0
0IrUTCaG,37,1.0
Gv5cdnsX,27,2.0
cc121216659584,31,1.7
auP3FXQH,33,2.0
cc165630485132,58,1.6
NWoWNirr,49,2.0
jpbyVxPm,31,1.0
9l3P4wiD,28,2.0
jXUr9UnY,35,2.0
T4kWGC2b,52,2.0
xHsuhUAU,39,2.0
QrVSjpfb,33,2.0
O05oyRRe,60,2.0
Wc5QPdRE,27,2.0
MCx0TH7o,34,2.0
cqKAaBCu,54,2.0
pBRomL2q,32,2.0
fSBMQyUa,29,2.0
lpOvkMqT,29,2.0
Sz6amyGo,27,2.0
9ZBGoQvf,30,1.0
cc121061446116,55,1.8
6zSscACx,41,1.0
0xR142ix,32,1.0
KdWTxsTT,31,1.0
jbqFC1Fh,41,1.0
FqCgbeKd,57,2.0
qMPe5rLM,26,2.0
HqWJ9FW0,26,1.0
WUZnI0YY,55,1.0
KdWTxsTT,61,1.0
wlWYZuWC,45,2.0
kD6fAWKN,46,2.0
cc119533411346,51,2.0
cc165126264492,27,1.8
uwfr4OIq,46,2.0
vShdRjCX,37,2.0
bWAqwOuZ,38,2.0
fhdVAYTs,76,1.0
hggFNvL7,27,2.0
3MNYVRsH,29,2.0
uwfr4OIq,52,2.0
3jT2Go0u,25,2.0
oiGwrtmT,38,2.0
nsqIWFmu,41,2.0
kywwfIXj,32,1.0
W58C0uT3,30,2.0
5qoOyQyd,41,2.0
zP9b9bRf,39,1.0
cc120832336406,48,1.3
lpOvkMqT,25,2.0
wLBffkSY,59,2.0
prY93Gxp,27,2.0
Wh5DSsmp,25,2.0
KdWTxsTT,51,2.0
nfbLKTts,38,1.0
91Fq3Ywc,47,2.0
agirj2pq,49,2.0
HemahnHM,46,2.0
cc120068742466,42,1.5
cc165518725982,44,1.3
e14wmTY8,43,2.0
Ji8nAcPv,32,2.0
6qzPBXnK,41,1.0
oEZJR2wt,48,1.0
islyexXZ,58,1.0
iSQpxxV4,55,2.0
cc121429645884,38,1.9
cc120963141570,38,1.4
rfdfFu8S,25,1.0
fhdVAYTs,42,1.0
oEZJR2wt,64,2.0
omS60n40,35,2.0
gydhyXwc,30,2.0
TAV6imGY,32,2.0
w9CglxvS,29,1.0
oEZJR2wt,62,2.0
jeKEcHAf,26,1.0
cc119485407416,26,1.5
CZ2Nz0hs,39,2.0
LGflhDBB,36,2.0
fhdVAYTs,56,2.0
WVbQCGsN,47,1.0
AI5pfoSS,39,2.0
cc119682331920,51,1.3
bIg3q67t,35,2.0
2ONaZyLR,32,2.0
haX2R60f,44,2.0
YsdsN2mb,32,2.0
71zZ8BNL,69,1.0
jsQ3fiO1,30,2.0
DZRLBiMx,65,2.0
hnqPXak2,25,2.0
Eq87W3nw,29,2.0
dYVnjL5F,30,2.0
0DpOpLoG,50,2.0
3VyQK0Ol,39,2.0
BnfWIwnj,47,2.0
zBkftfs5,36,2.0
6kMIoJGg,37,1.0
cc120870901432,31,0.1
Ih6OYXsL,52,1.0
VB1swwCv,27,2.0
mkfDrKXY,59,2.0
MCx0TH7o,40,1.0
soeO295L,36,2.0
cc119359346586,95,0.7
lzy6JKgS,37,1.0
cEaYU9kg,70,2.0
rmjCp2C3,65,1.0
MldwSwYg,54,1.0
02wd52ht,29,1.0
aTWTp5XR,29,2.0
cbTUTbvn,30,1.0
YtmsQrIc,32,1.0
SSmYyehz,47,2.0
9E1sGKTn,40,2.0
KpOCOKVm,52,2.0
dV3WjO06,50,2.0
SSdTgh1A,61,1.0
fhdVAYTs,68,1.0
IToAsCWf,44,2.0
10gLdpAx,25,2.0
92nrRa1U,29,2.0
dYVnjL5F,28,2.0
cSzR1D0Q,41,2.0
rgSG5aW3,52,2.0
Xu9r47In,45,2.0
cc121233610264,25,1.7
T1IfcEKk,30,2.0
F2IVpYM7,26,2.0
rJTSYYFo,26,1.0
0hWvNObN,59,2.0
cc121041503216,45,1.4
tdAPnYwr,63,2.0
OnLiCxS9,53,2.0
OxYu2GP1,81,2.0
WwzoefOV,57,2.0
cc121061530508,37,1.3
e95mGNXp,78,2.0
immbJoQn,35,2.0
JOEoHZ5c,42,2.0
cc121043364578,44,1.4
hKi3LcQ7,40,1.0
b2D3LJTl,38,1.0
yQPCAay3,42,1.0
ee2H3Vc5,55,1.0
AyYkmRRd,27,2.0
wSaLkOHE,49,1.0
fNIeCnRj,30,1.0
R0GFVKf4,42,2.0
SrB1134z,42,1.0
3VUA8lXh,44,1.0
0iAUFwZq,25,2.0
cc120090854540,62,1.7
efFqFuSV,44,1.0
OUkp2kcr,41,1.0
KG6wMoLp,43,2.0
dpnWJ5nQ,33,1.0
dp9pW0Hc,28,2.0
9zj7YWup,25,2.0
fPXk2Yjo,45,2.0
AJvXQ7dq,56,2.0
nfbLKTts,42,2.0
OUkp2kcr,39,2.0
VYdqblhA,25,0.0
6l8wM6zu,27,1.0
eWt21HZq,37,2.0
NWoWNirr,25,2.0
96NLrren,32,2.0
VWzxENIk,27,2.0
cc120696709236,25,1.2
JZ1c0itp,44,2.0
kBLs2G2M,49,1.0
0yUsdTsq,29,2.0
3HQTDOyP,29,2.0
cc121431561102,33,1.7
n7xgQJrG,27,2.0
JdaFIow5,27,2.0
YgGk4uXl,46,2.0
Sy67F9WW,36,2.0
rnfLWk0Z,26,1.0
oGMXbvyn,25,2.0
RBN9lq4b,29,2.0
YsxxHHsp,33,2.0
0e8drj4A,33,2.0
TrTPU9eL,38,1.0
vpmdonF8,27,1.0
KQsqGirM,28,2.0
0Wm6pRLq,34,2.0
L6R8YKsd,33,2.0
cc120103188298,62,1.7
1R5pkdm8,25,1.0
4EMfVjCF,28,2.0
cc120613569234,71,1.8
GYJmkNms,42,2.0
gNQgIFpa,50,2.0
viQa9u7a,36,2.0
IKrVJXoE,33,2.0
l1LxrgkU,34,2.0
37G3BCSX,25,2.0
mCbUd94e,34,2.0
Em0b7M2I,28,2.0
oawQ5TGZ,37,1.0
6JaDkioK,44,1.0
tMVPnFjF,37,1.0
zLEy6Ord,45,2.0
a21KORUM,38,2.0
yupjuMwt,35,1.0
cc119533598862,31,0.9
fWn5DlgU,27,2.0
2WBnoRZj,53,2.0
lCAu2EBz,29,2.0
BocISg9Z,33,2.0
M2b5XPhY,45,1.0
YGkJlW3k,37,1.0
jEXNQ2gy,48,2.0
nH2GPRiK,41,1.0
Fp4utDyV,28,1.0
dseByn0z,59,2.0
9qRNTLgm,27,2.0
Cnec1gZ6,25,2.0
hggFNvL7,25,2.0
cc121061446116,29,1.9
5mdASwa4,36,2.0
AFVooh7L,30,2.0
M2b5XPhY,35,2.0
2mSGALgv,37,2.0
yIxIk342,56,2.0
oBXKuAR9,31,2.0
cc119356898696,47,1.2
Au5YTbcs,33,1.0
caQMhudS,31,1.0
cc165165123820,46,1.7
AD9R2xMa,50,2.0
7ZkzIVZn,28,1.0
jr7L9DkN,32,2.0
6gsg1kvq,28,1.0
loHTsVCB,41,2.0
gqJWMjlJ,44,1.0
cc165171241850,26,1.5
ht6Z8FFT,25,2.0
mP42Eigu,39,2.0
vzhINwqB,47,1.0
3D75JmMM,38,2.0
tLXgCdLY,35,1.0
JWSpDMfm,53,1.0
QtlegBCL,29,2.0
cc119970680744,29,2.0
JqK9NO9R,39,1.0
cAyVQGHB,50,1.0
avPoONu1,26,1.0
sUdxxSM6,25,2.0
nYMLo7W3,26,2.0
ayliXquX,75,2.0
ht6Z8FFT,27,1.0
BeqyUNAe,33,2.0
GugYbzmi,54,2.0
0vNXddIX,32,0.0
L7vEa2Jm,59,2.0
cc166021163984,34,1.5
XhYYTA2C,34,0.0
DeEaPd6Y,27,1.0
XTudeuo9,42,2.0
lnA7SsKn,29,2.0
C771K0dM,58,2.0
MWLPGOoJ,58,2.0
D3xhy5KA,39,2.0
vKl9MBiL,36,2.0
mP42Eigu,43,2.0
yeijPT2I,38,2.0
D6zL2npP,55,2.0
QOvNDTe6,43,2.0
JQlXucSF,34,2.0
avPoONu1,46,1.0
yePYPRMG,32,2.0
V5RDt83x,56,2.0
0IrUTCaG,33,2.0
1BD24Pof,56,1.0
Esk9i6ds,44,2.0
Ji8nAcPv,38,2.0
WsyDYjvi,51,2.0
KpOCOKVm,44,2.0
Sz6amyGo,47,1.0
